('192.0.12.1', 'Desconocido')
('192.0.12.10', 'Desconocido')
('192.0.12.11', 'Desconocido')
('192.0.12.13', 'Desconocido')
('192.0.12.22', 'Desconocido')
('192.0.12.29', 'Desconocido')
('192.0.12.33', 'Desconocido')
('192.0.12.35', 'Desconocido')
('192.0.12.37', 'Desconocido')
('192.0.12.45', 'Desconocido')
('192.0.12.49', 'Desconocido')
('192.0.12.51', 'Desconocido')
('192.0.12.58', 'Desconocido')
('192.0.12.59', 'Desconocido')
('192.0.12.66', 'Desconocido')
('192.0.12.68', 'Desconocido')
('192.0.12.69', 'Desconocido')
('192.0.12.70', 'Desconocido')
('192.0.12.72', 'Desconocido')
('192.0.12.77', 'Desconocido')
('192.0.12.80', 'Desconocido')
('192.0.12.90', 'Desconocido')
('192.0.12.91', 'Desconocido')
('192.0.12.92', 'Desconocido')
('192.0.12.94', 'Desconocido')
('192.0.12.97', 'Desconocido')
('192.0.12.105', 'Desconocido')
('192.0.12.117', 'Desconocido')
('192.0.12.121', 'Desconocido')
('192.0.12.122', 'Desconocido')
('192.0.12.129', 'Desconocido')
('192.0.12.130', 'Desconocido')
('192.0.12.131', 'Desconocido')
('192.0.12.133', 'Desconocido')
('192.0.12.137', 'Desconocido')
('192.0.12.140', 'Desconocido')
('192.0.12.141', 'Desconocido')
('192.0.12.143', 'Desconocido')
('192.0.12.144', 'Desconocido')
('192.0.12.146', 'Desconocido')
('192.0.12.147', 'Desconocido')
('192.0.12.149', 'Desconocido')
('192.0.12.150', 'Desconocido')
('192.0.12.152', 'Desconocido')
('192.0.12.155', 'Desconocido')
('192.0.12.157', 'Desconocido')
('192.0.12.161', 'Desconocido')
('192.0.12.162', 'Desconocido')
('192.0.12.163', 'Desconocido')
('192.0.12.164', 'Desconocido')
('192.0.12.166', 'Desconocido')
('192.0.12.169', 'Desconocido')
('192.0.12.170', 'Desconocido')
('192.0.12.174', 'Desconocido')
('192.0.12.178', 'Desconocido')
('192.0.12.193', 'Desconocido')
('192.0.12.198', 'Desconocido')
('192.0.12.201', 'Desconocido')
('192.0.12.205', 'Desconocido')
('192.0.12.209', 'Desconocido')
('192.0.12.210', 'Desconocido')
('192.0.12.213', 'Desconocido')
('192.0.12.224', 'Desconocido')
('192.0.12.225', 'Desconocido')
('192.0.12.226', 'Desconocido')
('192.0.12.228', 'Desconocido')
('192.0.12.229', 'Desconocido')
('192.0.12.230', 'Desconocido')
('192.0.12.231', 'Desconocido')
('192.0.12.233', 'Desconocido')
('192.0.12.234', 'Desconocido')
('192.0.12.237', 'Desconocido')
('192.0.12.238', 'Desconocido')
('192.0.12.241', 'Desconocido')
('192.0.12.249', 'Desconocido')
('192.0.12.253', 'Desconocido')
('192.0.12.254', 'Desconocido')
